"","reads.in","reads.out"
"c13t1hull_S101_L001_R1_001.fastq.gz",20988,20981
"c13t1post_S77_L001_R1_001.fastq.gz",18890,18890
"c13t1pre_S76_L001_R1_001.fastq.gz",23759,23755
"c13t1rear_S102_L001_R1_001.fastq.gz",24106,24096
"c13t2bf_S212_L001_R1_001.fastq.gz",19691,19687
"c13t2bw_S211_L001_R1_001.fastq.gz",17124,17114
"c13t2hull_S213_L001_R1_001.fastq.gz",7916,7912
"c13t2post_S196_L001_R1_001.fastq.gz",22095,22095
"c13t2pre_S195_L001_R1_001.fastq.gz",28598,28598
"c13t2rear_S214_L001_R1_001.fastq.gz",7241,7240
"c13t3bf_S364_L001_R1_001.fastq.gz",15236,15201
"c13t3bw_S363_L001_R1_001.fastq.gz",15617,15607
"c13t3hull_S365_L001_R1_001.fastq.gz",10170,10169
"c13t3post_S387_L001_R1_001.fastq.gz",20490,20490
"c13t3pre_S386_L001_R1_001.fastq.gz",18408,18407
"c13t3rear_S366_L001_R1_001.fastq.gz",11237,11236
"c13t4bf_S506_L001_R1_001.fastq.gz",24410,24372
"c13t4bw_S505_L001_R1_001.fastq.gz",16192,16181
"c13t4hull_S507_L001_R1_001.fastq.gz",26068,26068
"c13t4post_S530_L001_R1_001.fastq.gz",35162,35158
"c13t4pre_S529_L001_R1_001.fastq.gz",23552,23551
"c13t4rear_S508_L001_R1_001.fastq.gz",37846,37832
"c14t1bf_S93_L001_R1_001.fastq.gz",24962,24955
"c14t1bw_S92_L001_R1_001.fastq.gz",20336,20336
"c14t1hull_S97_L001_R1_001.fastq.gz",12026,12024
"c14t1post_S79_L001_R1_001.fastq.gz",29319,29316
"c14t1pre_S78_L001_R1_001.fastq.gz",18026,18022
"c14t1rear_S98_L001_R1_001.fastq.gz",16325,16322
"c14t3bf_S368_L001_R1_001.fastq.gz",16109,16086
"c14t3bw_S367_L001_R1_001.fastq.gz",32605,32584
"c14t3hull_S369_L001_R1_001.fastq.gz",43604,43598
"c14t3post_S389_L001_R1_001.fastq.gz",5419,5418
"c14t3pre_S388_L001_R1_001.fastq.gz",14056,14055
"c14t3rear_S370_L001_R1_001.fastq.gz",16780,16771
"c15t1bf_S89_L001_R1_001.fastq.gz",18493,18491
"c15t1bw_S88_L001_R1_001.fastq.gz",24450,24440
"c15t1hull_S90_L001_R1_001.fastq.gz",17027,17027
"c15t1post_S81_L001_R1_001.fastq.gz",17044,17042
"c15t1pre_S80_L001_R1_001.fastq.gz",15994,15994
"c15t1rear_S91_L001_R1_001.fastq.gz",27627,27594
"c15t2bf_S216_L001_R1_001.fastq.gz",14107,14102
"c15t2bw_S215_L001_R1_001.fastq.gz",64,62
"c15t2hull_S217_L001_R1_001.fastq.gz",17914,17911
"c15t2post_S198_L001_R1_001.fastq.gz",19136,19134
"c15t2pre_S197_L001_R1_001.fastq.gz",19353,19352
"c15t2rear_S218_L001_R1_001.fastq.gz",249,248
"c15t3bf_S411_L001_R1_001.fastq.gz",16047,16018
"c15t3bw_S410_L001_R1_001.fastq.gz",14891,14886
"c15t3hull_S412_L001_R1_001.fastq.gz",18194,18185
"c15t3post_S393_L001_R1_001.fastq.gz",17367,17367
"c15t3pre_S392_L001_R1_001.fastq.gz",13724,13721
"c15t3rear_S413_L001_R1_001.fastq.gz",23766,23763
"c15t4bf_S502_L001_R1_001.fastq.gz",16132,16083
"c15t4bw_S501_L001_R1_001.fastq.gz",14630,14623
"c15t4hull_S503_L001_R1_001.fastq.gz",34641,34605
"c15t4post_S528_L001_R1_001.fastq.gz",13324,13319
"c15t4pre_S527_L001_R1_001.fastq.gz",17051,17051
"c15t4rear_S504_L001_R1_001.fastq.gz",8138,8130
"c16t1bf_S85_L001_R1_001.fastq.gz",19108,19105
"c16t1bw_S84_L001_R1_001.fastq.gz",16536,16526
"c16t1hull_S86_L001_R1_001.fastq.gz",16663,16650
"c16t1post_S83_L001_R1_001.fastq.gz",16659,16653
"c16t1pre_S82_L001_R1_001.fastq.gz",20214,20211
"c16t1rear_S87_L001_R1_001.fastq.gz",23587,23569
"c16t3bf_S415_L001_R1_001.fastq.gz",7045,7041
"c16t3bw_S414_L001_R1_001.fastq.gz",19969,19965
"c16t3hull_S416_L001_R1_001.fastq.gz",13114,13111
"c16t3post_S395_L001_R1_001.fastq.gz",18035,18035
"c16t3pre_S394_L001_R1_001.fastq.gz",10553,10553
"c16t3rear_S417_L001_R1_001.fastq.gz",1390,1389
"c17t1bf_S144_L001_R1_001.fastq.gz",11180,11155
"c17t1bw_S143_L001_R1_001.fastq.gz",18343,18322
"c17t1hull_S145_L001_R1_001.fastq.gz",5830,5830
"c17t1post_S122_L001_R1_001.fastq.gz",15381,15380
"c17t1pre_S121_L001_R1_001.fastq.gz",14496,14493
"c17t1rear_S146_L001_R1_001.fastq.gz",13131,13128
"c17t2bf_S220_L001_R1_001.fastq.gz",17546,17513
"c17t2bw_S219_L001_R1_001.fastq.gz",16801,16765
"c17t2hull_S221_L001_R1_001.fastq.gz",18,17
"c17t2post_S200_L001_R1_001.fastq.gz",22856,22849
"c17t2pre_S199_L001_R1_001.fastq.gz",21956,21954
"c17t2rear_S222_L001_R1_001.fastq.gz",20419,20414
"c17t3bf_S419_L001_R1_001.fastq.gz",14407,14391
"c17t3bw_S418_L001_R1_001.fastq.gz",10168,10156
"c17t3hull_S420_L001_R1_001.fastq.gz",10874,10874
