sample_type,study,transit,swab_type,filter_type,location,boat,old_fastq_name,read,is.duplicated,sample.names
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box2-31,R1,not_duplicate,Box2-31
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box2-4,R1,not_duplicate,Box2-4
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box2-3,R1,not_duplicate,Box2-3
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box2-32,R1,not_duplicate,Box2-32
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box7-14,R1,not_duplicate,Box7-14
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box7-13,R1,not_duplicate,Box7-13
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box7-15,R1,not_duplicate,Box7-15
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box7-36,R1,not_duplicate,Box7-36
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box7-35,R1,not_duplicate,Box7-35
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box7-16,R1,not_duplicate,Box7-16
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box2-26,R1,not_duplicate,Box2-26
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box2-25,R1,not_duplicate,Box2-25
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box2-27,R1,not_duplicate,Box2-27
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box2-6,R1,not_duplicate,Box2-6
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box2-5,R1,not_duplicate,Box2-5
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box2-28,R1,not_duplicate,Box2-28
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,Box4-20,R1,not_duplicate,Box4-20
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,Box4-19,R1,not_duplicate,Box4-19
boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,Box4-21,R1,not_duplicate,Box4-21
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,Box4-4,R1,not_duplicate,Box4-4
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box4-3,R1,not_duplicate,Box4-3
boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,Box4-22,R1,not_duplicate,Box4-22
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box7-18,R1,not_duplicate,Box7-18
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box7-17,R1,not_duplicate,Box7-17
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box7-19,R1,not_duplicate,Box7-19
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box7-38,R1,not_duplicate,Box7-38
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box7-37,R1,not_duplicate,Box7-37
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box7-20,R1,not_duplicate,Box7-20
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box10-26,R1,not_duplicate,Box10-26
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box10-25,R1,not_duplicate,Box10-25
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box10-27,R1,not_duplicate,Box10-27
