sample_type,study,transit,swab_type,filter_type,location,boat,old_fastq_name,read,is.duplicated,sample.names
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box8-14,R1,not_duplicate,Box8-14
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box8-13,R1,not_duplicate,Box8-13
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box8-46,R1,not_duplicate,Box8-46
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box10-10,R1,not_duplicate,Box10-10
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box10-9,R1,not_duplicate,Box10-9
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box10-11,R1,not_duplicate,Box10-11
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box10-42,R1,not_duplicate,Box10-42
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box10-41,R1,not_duplicate,Box10-41
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box10-12,R1,not_duplicate,Box10-12
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box3-44,R1,not_duplicate,Box3-44
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box3-43,R1,not_duplicate,Box3-43
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box3-45,R1,not_duplicate,Box3-45
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box3-12,R1,not_duplicate,Box3-12
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box3-11,R1,not_duplicate,Box3-11
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box3-46,R1,not_duplicate,Box3-46
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box8-48,R1,not_duplicate,Box8-48
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box8-47,R1,not_duplicate,Box8-47
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box8-49,R1,not_duplicate,Box8-49
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box8-16,R1,not_duplicate,Box8-16
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box8-15,R1,not_duplicate,Box8-15
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box8-50,R1,not_duplicate,Box8-50
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box3-48,R1,not_duplicate,Box3-48
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box3-47,R1,not_duplicate,Box3-47
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box3-49,R1,not_duplicate,Box3-49
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box3-14,R1,not_duplicate,Box3-14
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box3-13,R1,not_duplicate,Box3-13
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box3-50,R1,not_duplicate,Box3-50
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,Box4-40,R1,not_duplicate,Box4-40
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,Box4-39,R1,not_duplicate,Box4-39
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,Box4-14,R1,not_duplicate,Box4-14
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box4-13,R1,not_duplicate,Box4-13
boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,Box4-42,R1,not_duplicate,Box4-42
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box9-2,R1,not_duplicate,Box9-2
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box9-1,R1,not_duplicate,Box9-1
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box9-3,R1,not_duplicate,Box9-3
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box9-18,R1,not_duplicate,Box9-18
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box9-17,R1,not_duplicate,Box9-17
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box9-4,R1,not_duplicate,Box9-4
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box10-6,R1,not_duplicate,Box10-6
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box10-5,R1,not_duplicate,Box10-5
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box10-7,R1,not_duplicate,Box10-7
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box10-40,R1,not_duplicate,Box10-40
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box10-39,R1,not_duplicate,Box10-39
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box10-8,R1,not_duplicate,Box10-8
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box3-52,R1,not_duplicate,Box3-52
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box3-51,R1,not_duplicate,Box3-51
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box3-53,R1,not_duplicate,Box3-53
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box3-16,R1,not_duplicate,Box3-16
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box3-15,R1,not_duplicate,Box3-15
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box3-54,R1,not_duplicate,Box3-54
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box9-6,R1,not_duplicate,Box9-6
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box9-5,R1,not_duplicate,Box9-5
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box9-7,R1,not_duplicate,Box9-7
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box9-20,R1,not_duplicate,Box9-20
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box9-19,R1,not_duplicate,Box9-19
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box9-8,R1,not_duplicate,Box9-8
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box3-56,R1,not_duplicate,Box3-56
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box3-57,R1,not_duplicate,Box3-57
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box3-18,R1,not_duplicate,Box3-18
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box3-17,R1,not_duplicate,Box3-17
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box3-58,R1,not_duplicate,Box3-58
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,Box4-44,R1,not_duplicate,Box4-44
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,Box4-43,R1,not_duplicate,Box4-43
boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,Box4-45,R1,not_duplicate,Box4-45
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,Box4-16,R1,not_duplicate,Box4-16
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box4-15,R1,not_duplicate,Box4-15
boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,Box4-46,R1,not_duplicate,Box4-46
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box9-10,R1,not_duplicate,Box9-10
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box9-9,R1,not_duplicate,Box9-9
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box9-11,R1,not_duplicate,Box9-11
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box9-22,R1,not_duplicate,Box9-22
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box9-21,R1,not_duplicate,Box9-21
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box9-12,R1,not_duplicate,Box9-12
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box10-2,R1,not_duplicate,Box10-2
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box10-1,R1,not_duplicate,Box10-1
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box10-3,R1,not_duplicate,Box10-3
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box10-38,R1,not_duplicate,Box10-38
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box10-37,R1,not_duplicate,Box10-37
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,Box5-22,R1,not_duplicate,Box5-22
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,Box5-21,R1,not_duplicate,Box5-21
boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,Box5-23,R1,not_duplicate,Box5-23
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,Box5-6,R1,not_duplicate,Box5-6
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box5-5,R1,not_duplicate,Box5-5
boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,Box5-24,R1,not_duplicate,Box5-24
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box11-6,R1,not_duplicate,Box11-6
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box11-5,R1,not_duplicate,Box11-5
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box11-7,R1,not_duplicate,Box11-7
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box11-35,R1,not_duplicate,Box11-35
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box11-34,R1,not_duplicate,Box11-34
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box11-8,R1,not_duplicate,Box11-8
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,Box5-26,R1,not_duplicate,Box5-26
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,Box5-25,R1,not_duplicate,Box5-25
boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,Box5-27,R1,not_duplicate,Box5-27
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,Box5-8,R1,not_duplicate,Box5-8
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box5-7,R1,not_duplicate,Box5-7
boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,Box5-28,R1,not_duplicate,Box5-28
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box11-10,R1,not_duplicate,Box11-10
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box11-9,R1,not_duplicate,Box11-9
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box11-11,R1,not_duplicate,Box11-11
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box11-37,R1,not_duplicate,Box11-37
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box11-36,R1,not_duplicate,Box11-36
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box11-12,R1,not_duplicate,Box11-12
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box1-1y,R1,not_duplicate,Box1-1y
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box1-2y,R1,not_duplicate,Box1-2y
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box1-23o,R1,not_duplicate,Box1-23o
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box1-1,R1,not_duplicate,Box1-1
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box1-3,R1,not_duplicate,Box1-3
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box1-22o,R1,not_duplicate,Box1-22o
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box6-22,R1,not_duplicate,Box6-22
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box6-21,R1,not_duplicate,Box6-21
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box6-23,R1,not_duplicate,Box6-23
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box6-4,R1,not_duplicate,Box6-4
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box6-3,R1,not_duplicate,Box6-3
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box6-24,R1,not_duplicate,Box6-24
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box1-1x,R1,not_duplicate,Box1-1x
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box1-16o,R1,not_duplicate,Box1-16o
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box1-14x,R1,not_duplicate,Box1-14x
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box1-15,R1,not_duplicate,Box1-15
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box1-6,R1,not_duplicate,Box1-6
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box1-4x,R1,not_duplicate,Box1-4x
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box6-26,R1,not_duplicate,Box6-26
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box6-25,R1,not_duplicate,Box6-25
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box6-27,R1,not_duplicate,Box6-27
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box6-6,R1,not_duplicate,Box6-6
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box6-5,R1,not_duplicate,Box6-5
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box6-28,R1,not_duplicate,Box6-28
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box1-10o,R1,not_duplicate,Box1-10o
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box1-17o,R1,not_duplicate,Box1-17o
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box1-8o,R1,not_duplicate,Box1-8o
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box1-18,R1,not_duplicate,Box1-18
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box1-14,R1,not_duplicate,Box1-14
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box1-2o,R1,not_duplicate,Box1-2o
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box6-30,R1,not_duplicate,Box6-30
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box6-29,R1,not_duplicate,Box6-29
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box6-31,R1,not_duplicate,Box6-31
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box6-8,R1,not_duplicate,Box6-8
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box6-7,R1,not_duplicate,Box6-7
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box6-32,R1,not_duplicate,Box6-32
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box1-2x,R1,not_duplicate,Box1-2x
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box1-12x,R1,not_duplicate,Box1-12x
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box1-15x,R1,not_duplicate,Box1-15x
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box1-2,R1,not_duplicate,Box1-2
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box1-4,R1,not_duplicate,Box1-4
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box1-5x,R1,not_duplicate,Box1-5x
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box6-34,R1,not_duplicate,Box6-34
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box6-33,R1,not_duplicate,Box6-33
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box6-35,R1,not_duplicate,Box6-35
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box6-10,R1,not_duplicate,Box6-10
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box6-9,R1,not_duplicate,Box6-9
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box6-36,R1,not_duplicate,Box6-36
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box1-11o,R1,not_duplicate,Box1-11o
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box1-18o,R1,not_duplicate,Box1-18o
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box1-14o,R1,not_duplicate,Box1-14o
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box1-10,R1,not_duplicate,Box1-10
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box1-8,R1,not_duplicate,Box1-8
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box1-3o,R1,not_duplicate,Box1-3o
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box6-38,R1,not_duplicate,Box6-38
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box6-37,R1,not_duplicate,Box6-37
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box6-39,R1,not_duplicate,Box6-39
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box6-12,R1,not_duplicate,Box6-12
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box6-11,R1,not_duplicate,Box6-11
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box6-40,R1,not_duplicate,Box6-40
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box1-9x,R1,not_duplicate,Box1-9x
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box1-23x,R1,not_duplicate,Box1-23x
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box1-16x,R1,not_duplicate,Box1-16x
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box1-22,R1,not_duplicate,Box1-22
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box1-20,R1,not_duplicate,Box1-20
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box1-6x,R1,not_duplicate,Box1-6x
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box6-42,R1,not_duplicate,Box6-42
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box6-41,R1,not_duplicate,Box6-41
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box6-43,R1,not_duplicate,Box6-43
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box6-14,R1,not_duplicate,Box6-14
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box6-13,R1,not_duplicate,Box6-13
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box6-44,R1,not_duplicate,Box6-44
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box1-12o,R1,not_duplicate,Box1-12o
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box1-20o,R1,not_duplicate,Box1-20o
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box1-6o,R1,not_duplicate,Box1-6o
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box1-13,R1,not_duplicate,Box1-13
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box1-4o,R1,not_duplicate,Box1-4o
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box6-46,R1,not_duplicate,Box6-46
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box6-45,R1,not_duplicate,Box6-45
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box6-47,R1,not_duplicate,Box6-47
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box6-16,R1,not_duplicate,Box6-16
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box6-15,R1,not_duplicate,Box6-15
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box6-48,R1,not_duplicate,Box6-48
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box1-10x,R1,not_duplicate,Box1-10x
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box1-22x,R1,not_duplicate,Box1-22x
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box1-17x,R1,not_duplicate,Box1-17x
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box1-19,R1,not_duplicate,Box1-19
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box1-11,R1,not_duplicate,Box1-11
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box1-7x,R1,not_duplicate,Box1-7x
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box7-2,R1,not_duplicate,Box7-2
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box7-1,R1,not_duplicate,Box7-1
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box7-3,R1,not_duplicate,Box7-3
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box7-30,R1,not_duplicate,Box7-30
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box7-29,R1,not_duplicate,Box7-29
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box7-4,R1,not_duplicate,Box7-4
boat,ChesapeakeBay,two,internalbilgebiofilm,nonfilter,Norfolk,Callinectes,Box5-37,R1,not_duplicate,Box5-37
boat,ChesapeakeBay,two,internalbilgebiofilm,nonfilter,Norfolk,Callinectes,Box5-40,R1,not_duplicate,Box5-40
boat,ChesapeakeBay,two,internalbilgebiofilm,nonfilter,Norfolk,Callinectes,Box5-38,R1,not_duplicate,Box5-38
boat,ChesapeakeBay,two,internalbilgebiofilm,nonfilter,Norfolk,Callinectes,Box5-41,R1,not_duplicate,Box5-41
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate1-negcont1,R1,not_duplicate,Plate1-negcont1
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate1-negcont2,R1,not_duplicate,Plate1-negcont2
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate1-negcont3,R1,not_duplicate,Plate1-negcont3
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate2-negcont6,R1,not_duplicate,Plate2-negcont6
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate3-negcont3,R1,not_duplicate,Plate3-negcont3
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate4-negcont3,R1,not_duplicate,Plate4-negcont3
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate5-negcont2,R1,not_duplicate,Plate5-negcont2
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate5-negcont3,R1,not_duplicate,Plate5-negcont3
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate5-negcont5,R1,not_duplicate,Plate5-negcont5
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate5-negcont7,R1,not_duplicate,Plate5-negcont7
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate5-negcont8,R1,not_duplicate,Plate5-negcont8
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate7-negcont1,R1,not_duplicate,Plate7-negcont1
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate7-negcont2,R1,not_duplicate,Plate7-negcont2
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate7-negcont3,R1,not_duplicate,Plate7-negcont3
control,ChesapeakeBay,NA,NA,NA,NA,NA,Plate7-negcont4,R1,not_duplicate,Plate7-negcont4
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-27,R1,not_duplicate,Box11-27
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-28,R1,not_duplicate,Box11-28
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-29,R1,not_duplicate,Box11-29
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-30,R1,not_duplicate,Box11-30
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-31,R1,not_duplicate,Box11-31
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-22,R1,not_duplicate,Box11-22
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-23,R1,not_duplicate,Box11-23
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-24,R1,not_duplicate,Box11-24
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-25,R1,not_duplicate,Box11-25
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-26,R1,not_duplicate,Box11-26
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-17,R1,not_duplicate,Box11-17
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-18,R1,not_duplicate,Box11-18
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-19,R1,not_duplicate,Box11-19
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-20,R1,not_duplicate,Box11-20
blank,ChesapeakeBay,NA,NA,NA,NA,NA,Box11-21,R1,not_duplicate,Box11-21
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box3-20,R1,not_duplicate,Box3-20
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box3-19,R1,not_duplicate,Box3-19
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box1-21o,R1,not_duplicate,Box1-21o
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box10-34,R1,not_duplicate,Box10-34
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box10-33,R1,not_duplicate,Box10-33
