"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold","Enriched_Genus"
"1400","sp14508","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter",NA,1.32692307692308,0.772589316284298,0.49278574951159,1.56779963107705,0.116927901040958,0.273151244235027,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1401","sp14509","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,1.32692307692308,-0.125530734264349,0.446154815399707,-0.281361379349649,0.778433236884867,0.92294736354524,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1402","sp14536","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade",NA,1.32692307692308,-0.534336159121077,0.439274305820528,-1.21640658704811,0.223830075948794,0.402153327945824,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1403","sp14537","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus MBIC10613",NA,1.32692307692308,0.772589326202801,0.479581135100643,1.61096688267496,0.107186940831697,0.266854612408475,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1404","sp14545","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,1.32692307692308,0.772589316284298,0.49278574951159,1.56779963107705,0.116927901040958,0.273151244235027,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1405","sp14595","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,NA,1.32692307692308,-1.04439369514568,0.457360217292994,-2.28352544811877,0.0223994356004691,0.0841362655174133,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1406","sp14596","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA,NA,1.19230769230769,-0.700439447228729,0.440454800354167,-1.59026407855133,0.111775292007614,0.267479060064323,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1407","sp14599","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3",NA,1.32692307692308,-1.04439369514568,0.457360217292994,-2.28352544811878,0.0223994356004689,0.0841362655174133,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1408","sp14608","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae",NA,NA,1.32692307692308,-1.04439369514568,0.457360217292994,-2.28352544811878,0.0223994356004689,0.0841362655174133,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1409","sp14624","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,NA,1.32692307692308,-1.04439369514568,0.457360217292994,-2.28352544811877,0.0223994356004691,0.0841362655174133,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
